Date/Time of Report: 3/18/2025 13:06:20,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/4/2025 4:58:01 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
4:45:55,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1170.93,Kg/Hr
4:45:50,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-680.367,Kg/Hr
4:45:48,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1078.9,Kg/Hr
4:45:47,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,66.2924,%
4:45:43,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-614.052,Kg/Hr
4:45:43,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,70.3993,%
4:45:38,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1065.91,Kg/Hr
4:45:36,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,66.635,%
4:45:25,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-580.486,Kg/Hr
4:45:21,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1022.5,Kg/Hr
4:45:19,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,70.7441,%
4:45:06,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-665.088,Kg/Hr
4:45:05,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1000.29,Kg/Hr
4:45:00,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48,%
4:44:59,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.1,%
4:45:00,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.2,%
4:44:59,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.3,%
4:44:59,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.4,%
4:44:58,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.5,%
4:44:58,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.6,%
4:44:57,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.7,%
4:44:57,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.8,%
4:44:57,U800,FIC_AS801_2,CHANGE,,,PIDA.OP,48.9,%
4:44:37,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-632.431,Kg/Hr
4:44:34,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1050.7,Kg/Hr
4:44:13,U800,PP815C,OFFNRM,OK,L 00,,FALSE,
4:44:10,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-648.212,Kg/Hr
4:44:03,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1024.71,Kg/Hr
4:43:58,U600,PP691,OFFNRM,ACK,,,,
4:43:46,U600,PP691,OFFNRM,,L 00,,TURE,
4:43:45,U100,ALARMS_LTC,PVLOW,ACK,,Freon side and Process Side Pressure Difference,,
4:43:45,U100,ALARMS_LTC,PVLOW,SHELVE,,Freon side and Process Side Pressure Difference,29.9256,kPa
4:43:35,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-667.326,Kg/Hr
4:43:33,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1029.39,Kg/Hr
4:43:30,U500,PP506,OFFNRM,ACK,,,,
4:43:29,U500,PP506,UNCMD,ACK,,,,
4:43:27,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-648.602,Kg/Hr
